iter	Passed	Remaining
0	68	68412
1	76	38280
2	84	28153
3	92	23107
4	101	20101
5	108	18006
6	116	16541
7	124	15454
8	133	14668
9	140	13945
10	148	13379
11	156	12904
12	164	12524
13	172	12163
14	180	11861
15	189	11627
16	196	11383
17	205	11187
18	213	11035
19	222	10902
20	229	10707
21	237	10548
22	244	10391
23	252	10275
24	260	10157
25	268	10071
26	276	9968
27	283	9854
28	292	9783
29	299	9690
30	307	9598
31	313	9496
32	322	9435
33	329	9366
34	336	9277
35	344	9214
36	351	9157
37	360	9115
38	368	9070
39	375	9020
40	383	8976
41	391	8920
42	398	8868
43	406	8834
44	414	8795
45	422	8752
46	430	8732
47	438	8702
48	446	8659
49	454	8642
50	463	8621
51	471	8601
52	479	8568
53	487	8535
54	494	8504
55	503	8481
56	510	8439
57	518	8420
58	526	8402
59	534	8376
60	542	8352
61	549	8320
62	557	8299
63	565	8275
64	572	8239
65	580	8217
66	588	8195
67	596	8178
68	605	8169
69	613	8144
70	621	8127
71	628	8098
72	636	8088
73	644	8058
74	651	8038
75	659	8020
76	666	7994
77	674	7978
78	683	7968
79	690	7936
80	697	7908
81	705	7899
82	714	7897
83	722	7876
84	730	7864
85	738	7852
86	746	7831
87	754	7822
88	761	7799
89	769	7778
90	776	7758
91	784	7745
92	793	7738
93	801	7725
94	809	7715
95	818	7709
96	826	7692
97	833	7673
98	840	7649
99	848	7639
100	855	7617
101	863	7599
102	870	7582
103	878	7569
104	886	7552
105	895	7552
106	904	7549
107	911	7532
108	919	7519
109	927	7504
110	935	7490
111	943	7479
112	951	7468
113	959	7460
114	966	7438
115	973	7417
116	981	7404
117	989	7392
118	997	7383
119	1005	7376
120	1014	7368
121	1021	7354
122	1030	7344
123	1038	7336
124	1046	7325
125	1054	7313
126	1063	7308
127	1071	7298
128	1081	7303
129	1090	7299
130	1098	7284
131	1104	7264
132	1112	7251
133	1119	7234
134	1127	7222
135	1134	7205
136	1142	7194
137	1148	7175
138	1156	7164
139	1165	7158
140	1173	7147
141	1180	7134
142	1188	7121
143	1195	7105
144	1203	7096
145	1210	7082
146	1218	7068
147	1225	7056
148	1233	7043
149	1240	7032
150	1248	7018
151	1264	7051
152	1272	7045
153	1278	7025
154	1287	7020
155	1295	7009
156	1303	7000
157	1311	6987
158	1317	6969
159	1326	6963
160	1335	6956
161	1342	6942
162	1350	6934
163	1359	6927
164	1374	6957
165	1382	6946
166	1392	6944
167	1399	6933
168	1407	6920
169	1415	6911
170	1423	6900
171	1431	6892
172	1440	6886
173	1447	6872
174	1455	6860
175	1462	6848
176	1470	6835
177	1478	6827
178	1485	6812
179	1492	6798
180	1499	6786
181	1507	6774
182	1515	6763
183	1522	6750
184	1528	6733
185	1536	6722
186	1544	6717
187	1553	6707
188	1560	6697
189	1568	6687
190	1575	6674
191	1583	6663
192	1590	6651
193	1598	6642
194	1607	6637
195	1614	6624
196	1621	6610
197	1628	6596
198	1637	6590
199	1645	6583
200	1653	6571
201	1660	6560
202	1667	6546
203	1675	6538
204	1683	6527
205	1689	6513
206	1698	6508
207	1706	6496
208	1713	6486
209	1721	6474
210	1728	6463
211	1737	6457
212	1746	6453
213	1753	6442
214	1762	6433
215	1769	6422
216	1777	6412
217	1785	6403
218	1793	6397
219	1801	6386
220	1810	6380
221	1818	6373
222	1825	6362
223	1834	6355
224	1841	6344
225	1849	6335
226	1858	6327
227	1866	6319
228	1874	6312
229	1882	6302
230	1890	6294
231	1898	6284
232	1905	6274
233	1912	6260
234	1918	6245
235	1925	6234
236	1934	6226
237	1942	6218
238	1949	6207
239	1957	6199
240	1965	6189
241	1972	6178
242	1980	6169
243	1988	6159
244	1996	6151
245	2003	6140
246	2011	6132
247	2029	6152
248	2046	6172
249	2058	6175
250	2070	6177
251	2081	6179
252	2093	6180
253	2103	6176
254	2111	6167
255	2119	6161
256	2128	6153
257	2137	6148
258	2147	6143
259	2155	6135
260	2163	6125
261	2171	6117
262	2181	6112
263	2189	6105
264	2197	6094
265	2205	6085
266	2213	6076
267	2221	6068
268	2230	6060
269	2238	6051
270	2246	6043
271	2254	6034
272	2261	6023
273	2268	6011
274	2275	6000
275	2283	5990
276	2291	5981
277	2298	5970
278	2306	5960
279	2314	5951
280	2322	5942
281	2329	5930
282	2337	5922
283	2345	5913
284	2353	5905
285	2362	5898
286	2370	5888
287	2378	5879
288	2386	5870
289	2393	5859
290	2401	5850
291	2408	5840
292	2417	5833
293	2425	5824
294	2434	5817
295	2442	5808
296	2451	5803
297	2459	5792
298	2467	5784
299	2474	5773
300	2483	5768
301	2492	5760
302	2503	5757
303	2512	5751
304	2521	5746
305	2530	5739
306	2539	5732
307	2571	5776
308	2584	5780
309	2597	5781
310	2612	5787
311	2624	5786
312	2635	5783
313	2644	5778
314	2653	5770
315	2661	5760
316	2669	5752
317	2678	5745
318	2687	5737
319	2695	5728
320	2703	5719
321	2710	5707
322	2719	5699
323	2727	5690
324	2735	5680
325	2743	5671
326	2751	5663
327	2759	5653
328	2769	5647
329	2777	5639
330	2785	5630
331	2794	5621
332	2803	5614
333	2812	5607
334	2820	5598
335	2828	5589
336	2836	5579
337	2843	5570
338	2852	5561
339	2860	5552
340	2866	5540
341	2874	5531
342	2882	5521
343	2890	5513
344	2898	5502
345	2907	5494
346	2916	5488
347	2925	5480
348	2934	5474
349	2943	5465
350	2951	5457
351	2959	5449
